id,type,attributes_name,attributes_position,attributes_deleted_at,attributes_billable,attributes_description,attributes_time_tracking_enabled,attributes_expense_tracking_enabled,attributes_booking_tracking_enabled,attributes_origin_service_id,attributes_initial_service_id,attributes_budget_cap_enabled,attributes_custom_fields,relationships_organization_data_type,relationships_organization_data_id,relationships_service_type_meta_included,relationships_deal_data_type,relationships_deal_data_id,relationships_person_meta_included,relationships_section_data_type,relationships_section_data_id,relationships_custom_field_people_meta_included,relationships_custom_field_attachments_meta_included,attributes_editor_config_name,attributes_editor_config_service_type_id,attributes_editor_config_override_editor_service_type
7537217,services,Development Management,1,,True,,True,False,True,7102707,7537217,False,,organizations,4506,False,deals,2488160,False,sections,1445687,False,False,,,
7537221,services,Documentation and Communication,4,,True,,True,False,True,7102711,7537221,False,,organizations,4506,False,deals,2488160,False,sections,1445687,False,False,,,
7537218,services,Full Stack Development,2,,True,,True,False,True,7102708,7537218,False,,organizations,4506,False,deals,2488160,False,sections,1445687,False,False,,,
7537227,services,Implementation,6,,True,,True,False,True,7514208,7537227,False,,organizations,4506,False,deals,2488160,False,sections,1445687,False,False,,,
7537219,services,Internal Testing,3,,True,,True,False,True,7102709,7537219,False,,organizations,4506,False,deals,2488160,False,sections,1445687,False,False,,,
7537222,services,Project Management,5,,True,,True,False,True,7102712,7537222,False,,organizations,4506,False,deals,2488160,False,sections,1445687,False,False,,,
7190291,services,Contractor Full Stack Development ,8,,False,,True,True,True,,7190291,False,,organizations,4506,False,deals,2398549,False,sections,1358621,False,False,,,
7190284,services,Development Management,1,,True,,True,False,True,,7190284,False,,organizations,4506,False,deals,2398549,False,sections,1358621,False,False,,,
7190285,services,Internal Testing,2,,True,,True,False,True,,7190285,False,,organizations,4506,False,deals,2398549,False,sections,1358621,False,False,,,
7190286,services,Knowledge Base Documentation,3,,True,,True,False,True,,7190286,False,,organizations,4506,False,deals,2398549,False,sections,1358621,False,False,,,
7190287,services,Meetings & Correspondence,4,,True,,True,False,True,,7190287,False,,organizations,4506,False,deals,2398549,False,sections,1358621,False,False,,,
7190288,services,Project Management,5,,True,,True,False,True,,7190288,False,,organizations,4506,False,deals,2398549,False,sections,1358621,False,False,,,
7190289,services,R&D,6,,True,,True,False,True,,7190289,False,,organizations,4506,False,deals,2398549,False,sections,1358621,False,False,,,
7190290,services,UI / UX Development,7,,True,,True,False,True,,7190290,False,,organizations,4506,False,deals,2398549,False,sections,1358621,False,False,,,
7190327,services,Development Management,1,,True,,True,False,True,,7190327,False,,organizations,4506,False,deals,2398557,False,sections,1358629,False,False,,,
7190328,services,Full Stack Development,2,,True,,True,False,True,,7190328,False,,organizations,4506,False,deals,2398557,False,sections,1358629,False,False,,,
7190329,services,Internal Testing,3,,True,,True,False,True,,7190329,False,,organizations,4506,False,deals,2398557,False,sections,1358629,False,False,,,
7190330,services,R&D,4,,True,,True,False,True,,7190330,False,,organizations,4506,False,deals,2398557,False,sections,1358629,False,False,,,
7190331,services,Third party support,5,,False,,True,True,True,,7190331,False,,organizations,4506,False,deals,2398557,False,sections,1358629,False,False,,,
7672939,services,Internal Testing,1,,True,,True,False,True,,7672939,False,,organizations,4506,False,deals,2520310,False,sections,1478850,False,False,,,
7672941,services,Project/Client Management,3,,True,,True,False,True,,7672941,False,,organizations,4506,False,deals,2520310,False,sections,1478850,False,False,,,
